LocationID,Borough,Zone,Add,mean_long,mean_lat
1,EWR,Newark Airport,"Newark Airport,New York, NY",-74.1744624,40.6895314
2,Queens,Jamaica Bay,"Jamaica Bay,New York, NY",-73.8713099,40.6056632
3,Bronx,Allerton/Pelham Gardens,"Allerton/Pelham Gardens,New York, NY",-73.8453138,40.865278000000004
4,Manhattan,Alphabet City,"Alphabet City,New York, NY",-73.9774916,40.7258428
5,Staten Island,Arden Heights,"Arden Heights,New York, NY",-74.17390569999999,40.5567951
6,Staten Island,Arrochar/Fort Wadsworth,"Arrochar/Fort Wadsworth,New York, NY",-74.0579185,40.6012117
7,Queens,Astoria,"Astoria,New York, NY",-73.92346189999999,40.7643574
8,Queens,Astoria Park,"Astoria Park,New York, NY",-73.9229654,40.7792459
9,Queens,Auburndale,"Auburndale,New York, NY",-73.78339609999999,40.7577672
10,Queens,Baisley Park,"Baisley Park,New York, NY",-73.786025,40.6737751
11,Brooklyn,Bath Beach,"Bath Beach,New York, NY",-74.0062078,40.6038852
12,Manhattan,Battery Park,"Battery Park,New York, NY",-74.0170279,40.7032775
13,Manhattan,Battery Park City,"Battery Park City,New York, NY",-74.0158441,40.7115786
14,Brooklyn,Bay Ridge,"Bay Ridge,New York, NY",-74.0298767,40.6263732
15,Queens,Bay Terrace/Fort Totten,"Bay Terrace/Fort Totten,New York, NY",-73.7760641,40.7922167
16,Queens,Bayside,"Bayside,New York, NY",-73.7654367,40.7585569
17,Brooklyn,Bedford,"Bedford,New York, NY",-73.6437397,41.204262
18,Bronx,Bedford Park,"Bedford Park,New York, NY",-73.8856912,40.8700999
19,Queens,Bellerose,"Bellerose,New York, NY",-73.71540139999999,40.72437070000001
20,Bronx,Belmont,"Belmont,New York, NY",-78.0344506,42.2231241
21,Brooklyn,Bensonhurst East,"Bensonhurst East,New York, NY",-73.9921833,40.6139307
22,Brooklyn,Bensonhurst West,"Bensonhurst West,New York, NY",-73.9921833,40.6139307
23,Staten Island,Bloomfield/Emerson Hill,"Bloomfield/Emerson Hill,New York, NY",-74.17819949999999,40.6126039
24,Manhattan,Bloomingdale,"Bloomingdale,New York, NY",-74.0870965,44.4078279
25,Brooklyn,Boerum Hill,"Boerum Hill,New York, NY",-73.9844722,40.6848689
26,Brooklyn,Borough Park,"Borough Park,New York, NY",-73.9921028,40.6350319
27,Queens,Breezy Point/Fort Tilden/Riis Beach,"Breezy Point/Fort Tilden/Riis Beach,New York, NY",-73.8953425,40.5616379
28,Queens,Briarwood/Jamaica Hills,"Briarwood/Jamaica Hills,New York, NY",-73.81356099999999,40.7109315
29,Brooklyn,Brighton Beach,"Brighton Beach,New York, NY",-73.9596565,40.5780706
30,Queens,Broad Channel,"Broad Channel,New York, NY",-73.8213213,40.6158335
31,Bronx,Bronx Park,"Bronx Park,New York, NY",-73.8706286,40.8608918
32,Bronx,Bronxdale,"Bronxdale,New York, NY",-73.86652409999999,40.8506558
33,Brooklyn,Brooklyn Heights,"Brooklyn Heights,New York, NY",-73.9955523,40.6959294
34,Brooklyn,Brooklyn Navy Yard,"Brooklyn Navy Yard,New York, NY",-73.9712029,40.6985551
35,Brooklyn,Brownsville,"Brownsville,New York, NY",-73.9125304,40.665214
36,Brooklyn,Bushwick North,"Bushwick North,New York, NY",-73.923672,40.692626
37,Brooklyn,Bushwick South,"Bushwick South,New York, NY",-73.923672,40.692626
38,Queens,Cambria Heights,"Cambria Heights,New York, NY",-73.7330753,40.692158
39,Brooklyn,Canarsie,"Canarsie,New York, NY",-73.9060579,40.6402325
40,Brooklyn,Carroll Gardens,"Carroll Gardens,New York, NY",-73.9991637,40.6795331
41,Manhattan,Central Harlem,"Central Harlem,New York, NY",-73.9464769,40.8115504
42,Manhattan,Central Harlem North,"Central Harlem North,New York, NY",-73.95373900000001,40.8009348
43,Manhattan,Central Park,"Central Park,New York, NY",-73.9653551,40.7828647
44,Staten Island,Charleston/Tottenville,"Charleston/Tottenville,New York, NY",-74.2382482,40.53144770000001
45,Manhattan,Chinatown,"Chinatown,New York, NY",-73.9970307,40.7157509
46,Bronx,City Island,"City Island,New York, NY",-73.7874983,40.8468202
47,Bronx,Claremont/Bathgate,"Claremont/Bathgate,New York, NY",-73.90174739999999,40.8384581
48,Manhattan,Clinton East,"Clinton East,New York, NY",-73.9866208,40.7160834
49,Brooklyn,Clinton Hill,"Clinton Hill,New York, NY",-73.9661144,40.6896834
50,Manhattan,Clinton West,"Clinton West,New York, NY",-73.9940677,40.7628038
51,Bronx,Co-Op City,"Co-Op City,New York, NY",-73.82944440000001,40.8738889
52,Brooklyn,Cobble Hill,"Cobble Hill,New York, NY",-73.9962255,40.686536
53,Queens,College Point,"College Point,New York, NY",-73.8389657,40.786395
54,Brooklyn,Columbia Street,"Columbia Street,New York, NY",-73.9801753,40.7171876
55,Brooklyn,Coney Island,"Coney Island,New York, NY",-73.9707016,40.5755438
56,Queens,Corona,"Corona,New York, NY",-73.8642613,40.7449859
57,Queens,Corona,"Corona,New York, NY",-73.8642613,40.7449859
58,Bronx,Country Club,"Country Club,New York, NY",-73.8197222,40.8391667
59,Bronx,Crotona Park,"Crotona Park,New York, NY",-73.8996421,40.8350221
60,Bronx,Crotona Park East,"Crotona Park East,New York, NY",-73.8922443,40.8366473
61,Brooklyn,Crown Heights North,"Crown Heights North,New York, NY",-73.9422324,40.6694022
62,Brooklyn,Crown Heights South,"Crown Heights South,New York, NY",-73.9422324,40.6694022
63,Brooklyn,Cypress Hills,"Cypress Hills,New York, NY",-73.8801301,40.6836118
64,Queens,Douglaston,"Douglaston,New York, NY",-73.74707649999999,40.768713
65,Brooklyn,Downtown Brooklyn/MetroTech,"Downtown Brooklyn/MetroTech,New York, NY",-73.98566339999999,40.6930987
66,Brooklyn,DUMBO/Vinegar Hill,"DUMBO/Vinegar Hill,New York, NY",-73.9847221,40.7030556
67,Brooklyn,Dyker Heights,"Dyker Heights,New York, NY",-74.00958399999999,40.6214932
68,Manhattan,East Chelsea,"East Chelsea,New York, NY",-74.00137370000002,40.7465004
69,Bronx,East Concourse/Concourse Village,"East Concourse/Concourse Village,New York, NY",-73.912585000000007,40.830034
70,Queens,East Elmhurst,"East Elmhurst,New York, NY",-73.8713099,40.7737505
71,Brooklyn,East Flatbush/Farragut,"East Flatbush/Farragut,New York, NY",-73.9298657,40.6373955
72,Brooklyn,East Flatbush/Remsen Village,"East Flatbush/Remsen Village,New York, NY",-73.9199771,40.6527657
73,Queens,East Flushing,"East Flushing,New York, NY",-73.8086418,40.7540534
74,Manhattan,East Harlem North,"East Harlem North,New York, NY",-73.93892129999999,40.7957399
75,Manhattan,East Harlem South,"East Harlem South,New York, NY",-73.93892129999999,40.7957399
76,Brooklyn,East New York,"East New York,New York, NY",-73.8759245,40.6590529
77,Brooklyn,East New York/Pennsylvania Avenue,"East New York/Pennsylvania Avenue,New York, NY",-73.8905344,40.6585561
78,Bronx,East Tremont,"East Tremont,New York, NY",-73.8909693,40.8453781
79,Manhattan,East Village,"East Village,New York, NY",-73.98153370000001,40.7264773
80,Brooklyn,East Williamsburg,"East Williamsburg,New York, NY",-73.9316461,40.7141953
81,Bronx,Eastchester,"Eastchester,New York, NY",-73.8095574,40.95956049999999
82,Queens,Elmhurst,"Elmhurst,New York, NY",-73.8801301,40.737975
83,Queens,Elmhurst/Maspeth,"Elmhurst/Maspeth,New York, NY",-73.88705639999999,40.7301926
84,Staten Island,Eltingville/Annadale/Prince's Bay,"Eltingville/Annadale/Prince's Bay,New York, NY",-74.156292,40.5394463
85,Brooklyn,Erasmus,"Erasmus,New York, NY",-73.9523791,40.6496713
86,Queens,Far Rockaway,"Far Rockaway,New York, NY",-73.74484369999999,40.5998931
87,Manhattan,Financial District North,"Financial District North,New York, NY",-74.00827869999999,40.7077143
88,Manhattan,Financial District South,"Financial District South,New York, NY",-74.00827869999999,40.7077143
89,Brooklyn,Flatbush/Ditmas Park,"Flatbush/Ditmas Park,New York, NY",-73.9593998,40.6414876
90,Manhattan,Flatiron,"Flatiron,New York, NY",-73.9903489,40.740083
91,Brooklyn,Flatlands,"Flatlands,New York, NY",-73.9321664,40.6232714
92,Queens,Flushing,"Flushing,New York, NY",-73.833079,40.7674987
93,Queens,Flushing Meadows-Corona Park,"Flushing Meadows-Corona Park,New York, NY",-73.840785,40.73971359999999
94,Bronx,Fordham South,"Fordham South,New York, NY",-73.7865113,40.8472646
95,Queens,Forest Hills,"Forest Hills,New York, NY",-73.8448469,40.718106
96,Queens,Forest Park/Highland Park,"Forest Park/Highland Park,New York, NY",-78.7578932,42.9637432
97,Brooklyn,Fort Greene,"Fort Greene,New York, NY",-73.97418739999999,40.6920638
98,Queens,Fresh Meadows,"Fresh Meadows,New York, NY",-73.7801447,40.7335179
99,Staten Island,Freshkills Park,"Freshkills Park,New York, NY",-74.186255,40.5642714
100,Manhattan,Garment District,"Garment District,New York, NY",-73.9916342,40.7547072
101,Queens,Glen Oaks,"Glen Oaks,New York, NY",-73.7118223,40.7471504
102,Queens,Glendale,"Glendale,New York, NY",-73.8842219,40.7016662
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,"Governor's Island/Ellis Island/Liberty Island,New York, NY",-74.016792,40.68945009999999
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,"Governor's Island/Ellis Island/Liberty Island,New York, NY",-74.016792,40.68945009999999
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,"Governor's Island/Ellis Island/Liberty Island,New York, NY",-74.016792,40.68945009999999
106,Brooklyn,Gowanus,"Gowanus,New York, NY",-73.9879753,40.6751161
107,Manhattan,Gramercy,"Gramercy,New York, NY",-73.9844722,40.7367783
108,Brooklyn,Gravesend,"Gravesend,New York, NY",-73.9768653,40.5918636
109,Staten Island,Great Kills,"Great Kills,New York, NY",-74.156292,40.5543273
110,Staten Island,Great Kills Park,"Great Kills Park,New York, NY",-74.1268624,40.54875740000001
111,Brooklyn,Green-Wood Cemetery,"Green-Wood Cemetery,New York, NY",-73.9948493,40.65807789999999
112,Brooklyn,Greenpoint,"Greenpoint,New York, NY",-73.95150319999999,40.7304701
113,Manhattan,Greenwich Village North,"Greenwich Village North,New York, NY",-74.0027418,40.7335719
114,Manhattan,Greenwich Village South,"Greenwich Village South,New York, NY",-74.0027418,40.7335719
115,Staten Island,Grymes Hill/Clifton,"Grymes Hill/Clifton,New York, NY",-74.0784785,40.6189726
116,Manhattan,Hamilton Heights,"Hamilton Heights,New York, NY",-73.9496079,40.8259597
117,Queens,Hammels/Arverne,"Hammels/Arverne,New York, NY",-73.80808689999999,40.5879465
118,Staten Island,Heartland Village/Todt Hill,"Heartland Village/Todt Hill,New York, NY",-74.16803469999999,40.5807663
119,Bronx,Highbridge,"Highbridge,New York, NY",-73.9271294,40.836916
120,Manhattan,Highbridge Park,"Highbridge Park,New York, NY",-73.9329638,40.8446296
121,Queens,Hillcrest/Pomonok,"Hillcrest/Pomonok,New York, NY",-73.8001762,40.7229706
122,Queens,Hollis,"Hollis,New York, NY",-73.762495,40.7112203
123,Brooklyn,Homecrest,"Homecrest,New York, NY",-73.9614446,40.60169880000001
124,Queens,Howard Beach,"Howard Beach,New York, NY",-73.8429989,40.6571222
125,Manhattan,Hudson Sq,"Hudson Sq,New York, NY",-74.0074731,40.7265834
126,Bronx,Hunts Point,"Hunts Point,New York, NY",-73.8801301,40.8120246
127,Manhattan,Inwood,"Inwood,New York, NY",-73.9212019,40.8677145
128,Manhattan,Inwood Hill Park,"Inwood Hill Park,New York, NY",-73.9255549,40.8722007
129,Queens,Jackson Heights,"Jackson Heights,New York, NY",-73.8830701,40.7556818
130,Queens,Jamaica,"Jamaica,New York, NY",-73.7889689,40.702677
131,Queens,Jamaica Estates,"Jamaica Estates,New York, NY",-73.7742616,40.7178539
132,Queens,JFK Airport,"JFK Airport,New York, NY",-73.77813909999999,40.6413111
133,Brooklyn,Kensington,"Kensington,New York, NY",-73.97318729999999,40.63852019999999
134,Queens,Kew Gardens,"Kew Gardens,New York, NY",-73.8272029,40.705695
135,Queens,Kew Gardens Hills,"Kew Gardens Hills,New York, NY",-73.8104048,40.73844709999999
136,Bronx,Kingsbridge Heights,"Kingsbridge Heights,New York, NY",-73.9006916,40.8723219
137,Manhattan,Kips Bay,"Kips Bay,New York, NY",-73.9800645,40.74232920000001
138,Queens,LaGuardia Airport,"LaGuardia Airport,New York, NY",-73.8739659,40.7769271
139,Queens,Laurelton,"Laurelton,New York, NY",-73.7447853,40.67764
140,Manhattan,Lenox Hill East,"Lenox Hill East,New York, NY",-73.9602312,40.7662315
141,Manhattan,Lenox Hill West,"Lenox Hill West,New York, NY",-73.9602312,40.7662315
142,Manhattan,Lincoln Square East,"Lincoln Square East,New York, NY",-73.9844722,40.77382799999999
143,Manhattan,Lincoln Square West,"Lincoln Square West,New York, NY",-73.9844722,40.77382799999999
144,Manhattan,Little Italy/NoLiTa,"Little Italy/NoLiTa,New York, NY",-73.9966188,40.7205409
145,Queens,Long Island City/Hunters Point,"Long Island City/Hunters Point,New York, NY",-73.94964639999999,40.7485587
146,Queens,Long Island City/Queens Plaza,"Long Island City/Queens Plaza,New York, NY",-73.9402762,40.7509846
147,Bronx,Longwood,"Longwood,New York, NY",-73.8915875,40.8248438
148,Manhattan,Lower East Side,"Lower East Side,New York, NY",-73.9842724,40.715033
149,Brooklyn,Madison,"Madison,New York, NY",-73.9602326,40.7788867
150,Brooklyn,Manhattan Beach,"Manhattan Beach,New York, NY",-73.93892129999999,40.57815799999999
151,Manhattan,Manhattan Valley,"Manhattan Valley,New York, NY",-73.969707,40.796989
152,Manhattan,Manhattanville,"Manhattanville,New York, NY",-73.9558333,40.8169443
153,Manhattan,Marble Hill,"Marble Hill,New York, NY",-73.9102628,40.8761173
154,Brooklyn,Marine Park/Floyd Bennett Field,"Marine Park/Floyd Bennett Field,New York, NY",-73.89060909999999,40.5910174
155,Brooklyn,Marine Park/Mill Basin,"Marine Park/Mill Basin,New York, NY",-73.92794769999999,40.6176936
156,Staten Island,Mariners Harbor,"Mariners Harbor,New York, NY",-74.1587547,40.63677010000001
157,Queens,Maspeth,"Maspeth,New York, NY",-73.9065883,40.7294018
158,Manhattan,Meatpacking/West Village West,"Meatpacking/West Village West,New York, NY",-74.0076108,40.7409865
159,Bronx,Melrose South,"Melrose South,New York, NY",-73.9148502,40.8223113
160,Queens,Middle Village,"Middle Village,New York, NY",-73.87425,40.717372
161,Manhattan,Midtown Center,"Midtown Center,New York, NY",-73.9818506,40.7561774
162,Manhattan,Midtown East,"Midtown East,New York, NY",-73.9718815,40.7571432
163,Manhattan,Midtown North,"Midtown North,New York, NY",-73.9851039,40.7649516
164,Manhattan,Midtown South,"Midtown South,New York, NY",-73.985832,40.7504303
165,Brooklyn,Midwood,"Midwood,New York, NY",-73.95997779999999,40.6204388
166,Manhattan,Morningside Heights,"Morningside Heights,New York, NY",-73.96243270000001,40.8089564
167,Bronx,Morrisania/Melrose,"Morrisania/Melrose,New York, NY",-73.9104143,40.824545
168,Bronx,Mott Haven/Port Morris,"Mott Haven/Port Morris,New York, NY",-73.9228881,40.8091068
169,Bronx,Mount Hope,"Mount Hope,New York, NY",-74.5346103,41.4513121
170,Manhattan,Murray Hill,"Murray Hill,New York, NY",-73.9756567,40.7478792
171,Queens,Murray Hill-Queens,"Murray Hill-Queens,New York, NY",-73.8073261,40.7634996
172,Staten Island,New Dorp/Midland Beach,"New Dorp/Midland Beach,New York, NY",-74.1159755,40.5739937
173,Queens,North Corona,"North Corona,New York, NY",-73.8669188,40.7543725
174,Bronx,Norwood,"Norwood,New York, NY",-74.9943641,44.7514452
175,Queens,Oakland Gardens,"Oakland Gardens,New York, NY",-73.758241,40.7408584
176,Staten Island,Oakwood,"Oakwood,New York, NY",-73.988614,40.748148
177,Brooklyn,Ocean Hill,"Ocean Hill,New York, NY",-73.9121505,40.6743633
178,Brooklyn,Ocean Parkway South,"Ocean Parkway South,New York, NY",-73.96838620000001,40.61287799999999
179,Queens,Old Astoria,"Old Astoria,New York, NY",-73.9146109,40.75333260000001
180,Queens,Ozone Park,"Ozone Park,New York, NY",-73.8507279,40.6794072
181,Brooklyn,Park Slope,"Park Slope,New York, NY",-73.98142279999999,40.6710672
182,Bronx,Parkchester,"Parkchester,New York, NY",-73.8566087,40.8382522
183,Bronx,Pelham Bay,"Pelham Bay,New York, NY",-73.83333329999999,40.8505556
184,Bronx,Pelham Bay Park,"Pelham Bay Park,New York, NY",-73.8270555,40.8529308
185,Bronx,Pelham Parkway,"Pelham Parkway,New York, NY",-73.8639594,40.8553279
186,Manhattan,Penn Station/Madison Sq West,"Penn Station/Madison Sq West,New York, NY",-73.9934523,40.7515017
187,Staten Island,Port Richmond,"Port Richmond,New York, NY",-74.1254641,40.63549140000001
188,Brooklyn,Prospect-Lefferts Gardens,"Prospect-Lefferts Gardens,New York, NY",-73.9533895,40.6592355
189,Brooklyn,Prospect Heights,"Prospect Heights,New York, NY",-73.9668408,40.6774196
190,Brooklyn,Prospect Park,"Prospect Park,New York, NY",-73.9689558,40.6602037
191,Queens,Queens Village,"Queens Village,New York, NY",-73.7948516,40.7282239
192,Queens,Queensboro Hill,"Queensboro Hill,New York, NY",-73.833079,40.7674987
193,Queens,Queensbridge/Ravenswood,"Queensbridge/Ravenswood,New York, NY",-73.9351095,40.7609062
194,Manhattan,Randalls Island,"Randalls Island,New York, NY",-73.92128579999999,40.7932271
195,Brooklyn,Red Hook,"Red Hook,New York, NY",-74.00831889999999,40.6733676
196,Queens,Rego Park,"Rego Park,New York, NY",-73.8624893,40.72557219999999
197,Queens,Richmond Hill,"Richmond Hill,New York, NY",-73.8272029,40.6958108
198,Queens,Ridgewood,"Ridgewood,New York, NY",-73.9018292,40.7043986
199,Bronx,Rikers Island,"Rikers Island,New York, NY",-73.88601,40.79312770000001
200,Bronx,Riverdale/North Riverdale/Fieldston,"Riverdale/North Riverdale/Fieldston,New York, NY",-73.9010005,40.8994572
201,Queens,Rockaway Park,"Rockaway Park,New York, NY",-73.8372237,40.57978629999999
202,Manhattan,Roosevelt Island,"Roosevelt Island,New York, NY",-73.9509934,40.76050310000001
203,Queens,Rosedale,"Rosedale,New York, NY",-73.7389596,40.6584068
204,Staten Island,Rossville/Woodrow,"Rossville/Woodrow,New York, NY",-74.19764409999999,40.5434385
205,Queens,Saint Albans,"Saint Albans,New York, NY",-73.7654367,40.6894086
206,Staten Island,Saint George/New Brighton,"Saint George/New Brighton,New York, NY",-74.0861345,40.6458363
207,Queens,Saint Michaels Cemetery/Woodside,"Saint Michaels Cemetery/Woodside,New York, NY",-73.89850419999999,40.7646761
208,Bronx,Schuylerville/Edgewater Park,"Schuylerville/Edgewater Park,New York, NY",-73.83308439999999,40.8348809
209,Manhattan,Seaport,"Seaport,New York, NY",-74.0027446,40.7056185
210,Brooklyn,Sheepshead Bay,"Sheepshead Bay,New York, NY",-73.94575379999999,40.5953955
211,Manhattan,SoHo,"SoHo,New York, NY",-74.0029883,40.723301
212,Bronx,Soundview/Bruckner,"Soundview/Bruckner,New York, NY",-73.8713866,40.824345
213,Bronx,Soundview/Castle Hill,"Soundview/Castle Hill,New York, NY",-73.86836970000002,40.8251411
214,Staten Island,South Beach/Dongan Hills,"South Beach/Dongan Hills,New York, NY",-74.0630237,40.5957922
215,Queens,South Jamaica,"South Jamaica,New York, NY",-73.7919103,40.6808594
216,Queens,South Ozone Park,"South Ozone Park,New York, NY",-73.8124984,40.6764003
217,Brooklyn,South Williamsburg,"South Williamsburg,New York, NY",-73.9701826,40.7085742
218,Queens,Springfield Gardens North,"Springfield Gardens North,New York, NY",-73.7683784,40.6626441
219,Queens,Springfield Gardens South,"Springfield Gardens South,New York, NY",-73.7683784,40.6626441
220,Bronx,Spuyten Duyvil/Kingsbridge,"Spuyten Duyvil/Kingsbridge,New York, NY",-73.9074286,40.8794197
221,Staten Island,Stapleton,"Stapleton,New York, NY",-74.07764139999999,40.6264929
222,Brooklyn,Starrett City,"Starrett City,New York, NY",-73.880203,40.6489978
223,Queens,Steinway,"Steinway,New York, NY",-73.9037477,40.7745459
224,Manhattan,Stuy Town/Peter Cooper Village,"Stuy Town/Peter Cooper Village,New York, NY",-73.9778494,40.7316903
225,Brooklyn,Stuyvesant Heights,"Stuyvesant Heights,New York, NY",-73.9319933,40.6824166
226,Queens,Sunnyside,"Sunnyside,New York, NY",-73.9196324,40.7432759
227,Brooklyn,Sunset Park East,"Sunset Park East,New York, NY",-74.00933479999999,40.65272
228,Brooklyn,Sunset Park West,"Sunset Park West,New York, NY",-74.00933479999999,40.65272
229,Manhattan,Sutton Place/Turtle Bay North,"Sutton Place/Turtle Bay North,New York, NY",-73.960208,40.7580446
230,Manhattan,Times Sq/Theatre District,"Times Sq/Theatre District,New York, NY",-73.9844722,40.759011
231,Manhattan,TriBeCa/Civic Center,"TriBeCa/Civic Center,New York, NY",-74.0041818,40.7184304
232,Manhattan,Two Bridges/Seward Park,"Two Bridges/Seward Park,New York, NY",-73.98924699999999,40.7149056
233,Manhattan,UN/Turtle Bay South,"UN/Turtle Bay South,New York, NY",-73.9680091,40.7488758
234,Manhattan,Union Sq,"Union Sq,New York, NY",-73.9910835,40.7358633
235,Bronx,University Heights/Morris Heights,"University Heights/Morris Heights,New York, NY",-73.91208879999999,40.85146160000001
236,Manhattan,Upper East Side North,"Upper East Side North,New York, NY",-73.9565551,40.7735649
237,Manhattan,Upper East Side South,"Upper East Side South,New York, NY",-73.9565551,40.7735649
238,Manhattan,Upper West Side North,"Upper West Side North,New York, NY",-73.9753676,40.7870106
239,Manhattan,Upper West Side South,"Upper West Side South,New York, NY",-73.9753676,40.7870106
240,Bronx,Van Cortlandt Park,"Van Cortlandt Park,New York, NY",-73.8852842,40.8964243
241,Bronx,Van Cortlandt Village,"Van Cortlandt Village,New York, NY",-73.8852842,40.8964243
242,Bronx,Van Nest/Morris Park,"Van Nest/Morris Park,New York, NY",-73.85686969999999,40.846053
243,Manhattan,Washington Heights North,"Washington Heights North,New York, NY",-73.9342996,40.852476
244,Manhattan,Washington Heights South,"Washington Heights South,New York, NY",-73.9393554,40.8417082
245,Staten Island,West Brighton,"West Brighton,New York, NY",-74.10931409999999,40.6270298
246,Manhattan,West Chelsea/Hudson Yards,"West Chelsea/Hudson Yards,New York, NY",-73.9999874,40.7562005
247,Bronx,West Concourse,"West Concourse,New York, NY",-73.9227554,40.8316761
248,Bronx,West Farms/Bronx River,"West Farms/Bronx River,New York, NY",-73.8816001,40.8430609
249,Manhattan,West Village,"West Village,New York, NY",-74.0035709,40.735781
250,Bronx,Westchester Village/Unionport,"Westchester Village/Unionport,New York, NY",-73.8448469,40.8414979
251,Staten Island,Westerleigh,"Westerleigh,New York, NY",-74.1318094,40.621215
252,Queens,Whitestone,"Whitestone,New York, NY",-73.8095574,40.7920449
253,Queens,Willets Point,"Willets Point,New York, NY",-73.840436,40.7606911
254,Bronx,Williamsbridge/Olinville,"Williamsbridge/Olinville,New York, NY",-73.8566087,40.8776859
255,Brooklyn,Williamsburg (North Side),"Williamsburg (North Side),New York, NY",-73.95286709999999,40.7149187
256,Brooklyn,Williamsburg (South Side),"Williamsburg (South Side),New York, NY",-73.957037,40.71305
257,Brooklyn,Windsor Terrace,"Windsor Terrace,New York, NY",-73.9756567,40.6539346
258,Queens,Woodhaven,"Woodhaven,New York, NY",-73.8566087,40.6901366
259,Bronx,Woodlawn/Wakefield,"Woodlawn/Wakefield,New York, NY",-73.8627133,40.8955885
260,Queens,Woodside,"Woodside,New York, NY",-73.90364869999999,40.7512123
261,Manhattan,World Trade Center,"World Trade Center,New York, NY",-74.0131196,40.7118011
262,Manhattan,Yorkville East,"Yorkville East,New York, NY",-73.95072990000001,40.770203
263,Manhattan,Yorkville West,"Yorkville West,New York, NY",-73.94920789999999,40.7762231
264,Unknown,NV,"NV,New York, NY",-73.972861,40.761243
265,Unknown,NA,"NA,New York, NY",-74.0081611,40.732343
